Model,Completion Rate,Accuracy Once,Accuracy Range,Accuracy Periodic,Average Accuracy,Retain Perc
Llama-3.1-8B-Instruct_flash_w0_p0_maxlen4000,32.00365384615383,0.4005891016200295,0.5678733031674208,0.3773584905660377,0.4486069651178293,0.0
Llama-3.1-8B-Instruct_thresh_w64_p0.5_maxlen4000,32.13403846153845,0.3862275449101796,0.4896551724137931,0.3972286374133949,0.4243704515791225,35.6070502614975
Llama-3.1-8B-Instruct_thresh_w64_p0.75_maxlen4000,33.50269230769233,0.3531976744186046,0.5021645021645021,0.3319672131147541,0.3957764632326202,18.385403695106508
Llama-3.1-8B-Instruct_thresh_w64_p0.875_maxlen4000,37.031538461538496,0.38451443569553806,0.45271629778672035,0.30030959752321984,0.37918011033515936,9.631871980428695
Llama-3.1-8B-Instruct_thresh_w128_p0.5_maxlen4000,31.97346153846156,0.3568215892053973,0.5103448275862069,0.4,0.4223888055972014,34.02957559585571
Llama-3.1-8B-Instruct_thresh_w128_p0.75_maxlen4000,32.739807692307714,0.3823529411764705,0.5532407407407407,0.3326271186440678,0.4227402668537596,16.396961317062377
Llama-3.1-8B-Instruct_thresh_w128_p0.875_maxlen4000,36.55173076923081,0.4165588615782665,0.5610278372591007,0.3338815789473684,0.4371560925949118,8.40702919125557
Llama-3.1-8B-Instruct_thresh_w256_p0.5_maxlen4000,32.6673076923077,0.3770250368188512,0.5011764705882353,0.3837471783295711,0.4206495619122192,31.442678894996643
Llama-3.1-8B-Instruct_thresh_w256_p0.75_maxlen4000,32.774615384615416,0.369047619047619,0.4940898345153664,0.3880266075388026,0.4170546870339293,15.47520625591278
Llama-3.1-8B-Instruct_thresh_w256_p0.875_maxlen4000,34.4538461538462,0.396039603960396,0.5577777777777778,0.3620352250489236,0.4386175355956991,8.383306946754455
Llama-3.1-8B-Instruct_thresh_w512_p0.5_maxlen4000,32.44788461538463,0.4109985528219971,0.5373831775700935,0.4072398190045249,0.4518738497988718,35.049640293121335
Llama-3.1-8B-Instruct_thresh_w512_p0.75_maxlen4000,32.30750000000001,0.3872919818456883,0.5488721804511278,0.3713646532438479,0.4358429385135547,17.87599113702774
Llama-3.1-8B-Instruct_thresh_w512_p0.875_maxlen4000,34.27730769230773,0.4136490250696379,0.5982721382289417,0.3587174348697395,0.456879532722773,9.95629683971405
